,waktu,user,text,STOP_REMOVAL,STEMMING,labeling
78,2022-08-14 11:02:18+00:00,seukabelanja, rekomendasi blouse atasan wanita part all item under 100k cocok banget buat kerja kuliah ataupun hangout cek, rekomendasi blouse atasan wanita part all item under 100k cocok banget kerja kuliah hangout cek,rekomendasi blouse atas wanita part all item under 100k cocok banget kerja kuliah hangout cek,not bully
79,2022-08-14 11:02:12+00:00,massuneko77, kakaowebtoon citayam fashion week depan zebra cross isekai fashion week depan truck nim kebanggaan gimana siap diguncang sama, kakaowebtoon citayam fashion week zebra cross isekai fashion week truck nim kebanggaan gimana diguncang,kakaowebtoon citayam fashion week zebra cross isekai fashion week truck nim bangga gimana guncang,not bully
80,2022-08-14 11:01:41+00:00,nelapplee, kakaowebtoon citayam fashion week depan zebra cross isekai fashion week depan truck nim kebanggaan gimana siap diguncang sama, kakaowebtoon citayam fashion week zebra cross isekai fashion week truck nim kebanggaan gimana diguncang,kakaowebtoon citayam fashion week zebra cross isekai fashion week truck nim bangga gimana guncang,not bully
81,2022-08-14 11:01:26+00:00,sibadogil14, setelah citayam fashion show tamat sekarang anak medan takes sarinah, citayam fashion show tamat anak medan takes sarinah,citayam fashion show tamat anak medan takes sarinah,not bully
82,2022-08-14 11:00:40+00:00,rudbeckiadb, kakaowebtoon citayam fashion week depan zebra cross isekai fashion week depan truck nim kebanggaan gimana siap diguncang sama, kakaowebtoon citayam fashion week zebra cross isekai fashion week truck nim kebanggaan gimana diguncang,kakaowebtoon citayam fashion week zebra cross isekai fashion week truck nim bangga gimana guncang,not bully
83,2022-08-14 11:00:01+00:00,id_kakaowebtoon,citayam fashion week depan zebra cross isekai fashion week depan truck nim kebanggaan gimana siap diguncang ,citayam fashion week zebra cross isekai fashion week truck nim kebanggaan gimana diguncang ,citayam fashion week zebra cross isekai fashion week truck nim bangga gimana guncang,not bully
84,2022-08-14 11:00:00+00:00,netralnews,wali kota bogor bima arya sugiarto menyayangkan aksi pameran busana atau fashion show anak anak muda jalan sudi,wali kota bogor bima arya sugiarto menyayangkan aksi pameran busana fashion show anak anak muda jalan sudi,wali kota bogor bima arya sugiarto sayang aksi pamer busana fashion show anak anak muda jalan sudi,bully
85,2022-08-14 10:54:47+00:00,citayam_fw,tim gagak hitam satpol tangsel tangkap tangan perempuan dan pria metro,tim gagak hitam satpol tangsel tangkap tangan perempuan pria metro,tim gagak hitam satpol tangsel tangkap tangan perempuan pria metro,not bully
86,2022-08-14 10:54:46+00:00,citayam_fw,polda metro jaya ungkap judi online orang diamankan suara merdeka banyumas citayamfashionweek cfw,polda metro jaya judi online orang diamankan suara merdeka banyumas citayamfashionweek cfw,polda metro jaya judi online orang aman suara merdeka banyumas citayamfashionweek cfw,bully
87,2022-08-14 10:53:06+00:00,zigidotid,bonge citayam fashion week curhat rizky billar soal masa lalu jadi pengamen hingga klarifikasi dinilai sombong,bonge citayam fashion week curhat rizky billar pengamen klarifikasi dinilai sombong,bonge citayam fashion week curhat rizky billar amen klarifikasi nilai sombong,bully
88,2022-08-14 10:36:19+00:00,koma_id,citayam fashion week bisa jadi modal penerus anies semakin majukan jakarta,citayam fashion week modal penerus anies majukan jakarta,citayam fashion week modal terus anies maju jakarta,not bully
89,2022-08-14 10:12:57+00:00,bukan_saya10,citayam rawa panjang,citayam rawa,citayam rawa,not bully
90,2022-08-14 10:08:09+00:00,isnajmah, soal citayam dan kita yang perlu mengaku salah, citayam mengaku salah,citayam aku salah,not bully
91,2022-08-14 10:05:05+00:00,yoan_freax,citayam,citayam,citayam,not bully
92,2022-08-14 10:03:18+00:00,yedamuwiw,adek sepupu gue citayam fashion week,adek sepupu gue citayam fashion week,adek sepupu gue citayam fashion week,not bully
93,2022-08-14 09:52:40+00:00,mungilnya_kebo,jaehyun jamet jaman temenan ama bonge nongkrong citayam fashion week pride nihh,jaehyun jamet jaman temenan ama bonge nongkrong citayam fashion week pride nihh,jaehyun jamet jaman temenan ama bonge nongkrong citayam fashion week pride nihh,bully
94,2022-08-14 09:38:10+00:00,mybabytamvan,,nan,nan,not bully
95,2022-08-14 09:30:51+00:00,mybabytamvan,,nan,nan,not bully
96,2022-08-14 09:30:38+00:00,indrajpiliang,dan lihat mrk skrg manfaatkan area citayam fashion week utk citra diri tahu kemana anak2 itu pindah berkel,lihat mrk skrg manfaatkan area citayam fashion week utk citra kemana anak2 pindah berkel,lihat mrk skrg manfaat area citayam fashion week utk citra mana anak2 pindah berkel,not bully
97,2022-08-14 09:28:03+00:00,indrajpiliang,area2 tukang copet alias jari adik2 gue tahulah mana ada anak2 mangga besar xiii tak kenal dunia hitam,area2 tukang copet alias jari adik2 gue tahulah anak2 mangga xiii kenal dunia hitam,area2 tukang copet alias jari adik2 gue tahu anak2 mangga xiii kenal dunia hitam,not bully
98,2022-08-14 09:27:40+00:00,ah220373,citayam fashion week inovasi dari kata fashion show,citayam fashion week inovasi fashion show,citayam fashion week inovasi fashion show,not bully
99,2022-08-14 09:20:31+00:00,mingfan35, setelah citayam fashion show tamat sekarang anak medan takes sarinah, citayam fashion show tamat anak medan takes sarinah,citayam fashion show tamat anak medan takes sarinah,not bully
100,2022-08-14 08:21:04+00:00,nasibungkus2020, setelah citayam fashion show tamat sekarang anak medan takes sarinah, citayam fashion show tamat anak medan takes sarinah,citayam fashion show tamat anak medan takes sarinah,not bully
101,2022-08-14 08:12:42+00:00,ngabjoohyun, soal negara asia tenggara buah buahan warna merah nama lengkap member scbdclsd merek sabun mandi , negara asia tenggara buah buahan warna merah nama lengkap member scbdclsd merek sabun mandi ,negara asia tenggara buah buah warna merah nama lengkap member scbdclsd merek sabun mandi,not bully
102,2022-08-14 07:58:47+00:00,accketemu, soal negara asia tenggara buah buahan warna merah nama lengkap member scbdclsd merek sabun mandi , negara asia tenggara buah buahan warna merah nama lengkap member scbdclsd merek sabun mandi ,negara asia tenggara buah buah warna merah nama lengkap member scbdclsd merek sabun mandi,not bully
103,2022-08-14 07:57:55+00:00,detii0730,sejak citayam fashion week bergaung baru kali ini gueh lewatin dukuh atas dipake slebew sama anak2 citayam hahahaha,citayam fashion week bergaung kali gueh lewatin dukuh dipake slebew anak2 citayam hahahaha,citayam fashion week gaung kali gueh lewatin dukuh dipake slebew anak2 citayam hahahaha,bully
104,2022-08-14 07:54:49+00:00,citayam_fw,sidoarjo fashion week 2022 ajang fashion terkeren sidoarjo citayamfashionweek cfw,sidoarjo fashion week 2022 ajang fashion terkeren sidoarjo citayamfashionweek cfw,sidoarjo fashion week 2022 ajang fashion keren sidoarjo citayamfashionweek cfw,not bully
105,2022-08-14 07:54:49+00:00,citayam_fw,citayam fashion week ditutup bima arya ajak bonge dkk bogor suara poptren citayamfashionweek cfw,citayam fashion week ditutup bima arya ajak bonge dkk bogor suara poptren citayamfashionweek cfw,citayam fashion week tutup bima arya ajak bonge dkk bogor suara poptren citayamfashionweek cfw,not bully
106,2022-08-14 07:54:48+00:00,citayam_fw,bak fashion show citayam intip keseruan nunukan fashion week benuanta citayamfashionweek cfw,bak fashion show citayam intip keseruan nunukan fashion week benuanta citayamfashionweek cfw,bak fashion show citayam intip seru nunukan fashion week benuanta citayamfashionweek cfw,not bully
107,2022-08-14 07:54:48+00:00,citayam_fw,terinspirasi cfw liwa fashion street tampil beda dengan sentuhan tradisional khas lokal citayamfashionweek cfw,terinspirasi cfw liwa fashion street tampil beda sentuhan tradisional khas lokal citayamfashionweek cfw,inspirasi cfw liwa fashion street tampil beda sentuh tradisional khas lokal citayamfashionweek cfw,not bully
108,2022-08-14 07:54:48+00:00,citayam_fw,spot foto area citayam fashion week diburu warga saat cfd citayamfashionweek cfw,spot foto area citayam fashion week diburu warga cfd citayamfashionweek cfw,spot foto area citayam fashion week buru warga cfd citayamfashionweek cfw,not bully
109,2022-08-14 07:54:47+00:00,citayam_fw,marion jola tampil eksotis pakai kemben pink nude netizen kulit begini paling mantap citayamfashionweek cfw,marion jola tampil eksotis pakai kemben pink nude netizen kulit mantap citayamfashionweek cfw,marion jola tampil eksotis pakai kemben pink nude netizen kulit mantap citayamfashionweek cfw,bully
